pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
6.64,36.635,1.054,-0.096,0.977,-0.057,254.826,high
6.728,38.685,-0.006,0.089,0.945,0.028,255.258,medium
6.417,54.894,0.959,0.025,0.997,0.006,246.568,low
6.669,46.244,0.03,1.006,-0.076,0.032,255.168,medium
6.662,39.135,0.97,-0.052,0.055,0.042,249.154,medium
6.791,43.855,0.993,-0.048,0.948,0.04,250.294,high
6.638,55.008,0.051,-0.017,0.02,0.995,254.841,low
6.481,51.731,1.072,0.072,0.954,0.097,246.015,low
6.663,38.926,0.928,-0.087,0.947,0.986,255.463,high
6.641,39.539,-0.07,0.019,-0.071,0.021,254.661,medium
6.494,36.106,0.013,0.989,1.016,0.97,244.749,low
6.688,40.739,1.084,-0.009,-0.016,0.008,255.047,medium
6.467,38.936,1.022,0.983,0.984,0.987,254.3,high
6.729,43.258,-0.062,0.019,1.041,0.009,249.904,medium
6.434,38.496,-0.006,-0.083,1.049,-0.06,249.643,medium
6.717,38.732,0.045,0.881,1.083,1.017,255.132,high
6.66,45.619,0.885,-0.04,0.042,1.016,255.568,medium
6.712,42.242,0.961,1.023,1.062,-0.032,254.491,high
6.547,45.228,0.967,0.036,-0.001,0.018,245.181,medium
6.738,43.534,0.045,-0.057,-0.043,0.963,249.723,medium
6.558,34.582,1.02,0.048,1.054,0.045,254.061,high
6.687,36.245,0.024,0.96,-0.069,1.048,252.943,high
8.553,70.698,1.084,1.069,1.024,0.989,245.823,low
9.566,33.129,1.041,1.056,0.032,1.039,255.145,low
6.713,36.361,0.013,0.007,0.029,0.013,254.786,medium
6.463,37.732,0.998,1.095,1.087,0.932,255.293,high
5.673,45.73,0.998,0.033,0.868,0.897,249.376,low
4.629,59.037,-0.035,0.95,1.002,1.034,250.645,low
8.143,65.855,0.984,-0.121,1.063,1.064,255.603,low
6.696,43.372,0.974,0.96,-0.032,-0.071,246.809,medium
6.697,44.447,1.001,1.041,1.024,0.054,245.661,medium
5.583,49.603,-0.025,0.967,0.938,0.999,254.765,low
8.469,54.412,-0.074,0.96,1.059,0.953,253.967,low
7.298,90.908,1.042,-0.03,0.991,0.947,254.082,low
6.912,45.815,-0.028,0.991,0.965,0.924,255.25,high
6.427,36.578,1.031,-0.05,0.07,-0.008,255.064,medium
4.747,38.102,0.906,0.002,0.978,-0.067,255.756,low
2.961,41.036,0.998,0.906,1.013,1.051,254.67,low
9.082,42.158,0.93,0.069,0.943,0.944,250.406,low
6.816,39.667,1.02,0.031,1.008,-0.06,244.47,medium
6.519,44.773,-0.048,1.059,1.043,1.02,249.444,high
6.351,36.134,-0.124,-0.015,0.958,-0.034,255.056,medium
4.364,39.71,0.077,1.036,0.984,1.087,255.185,low
6.577,44.954,0.995,1.003,0.989,0.993,245.65,high
6.939,33.758,0.859,0.016,1.024,-0.077,245.947,medium
6.368,37.308,-0.014,1.03,0.99,0.009,253.248,high
8.481,69.001,-0.018,-0.033,0.079,0.04,245.194,low
6.671,33.135,0.007,0.025,-0.025,0.991,240.227,medium
6.289,37.85,0.031,0.021,0.021,-0.044,245.34,medium
6.657,37.534,1.052,-0.067,0.998,-0.059,255.24,high
6.379,44.942,0.018,0.98,0.051,0.039,239.296,medium
6.617,38.842,-0.008,1.065,0.042,1.017,249.718,low
6.828,41.995,1.065,1.135,1.037,1.098,255.761,high
6.738,40.942,0.96,-0.018,0.012,-0.047,247.327,medium
6.681,50.665,1.046,0.956,1.118,0.075,244.803,low
8.761,54.894,-0.033,1.049,0.071,0.006,254.53,low
7.406,64.694,-0.003,0.001,-0.14,0.001,255.124,low
6.692,40.989,0.12,0.025,-0.089,-0.024,254.832,medium
6.439,39.815,0.98,0.964,0.929,0.998,255.078,high
6.767,37.781,-0.014,-0.154,0.005,0.034,254.004,medium
2.964,39.758,0.962,0.045,0.044,0.062,254.163,low
8.977,44.045,1.052,1.004,0.959,0.951,247.776,low
6.847,41.45,1.054,0.981,0.997,1.063,254.806,high
6.614,46.147,0.004,-0.024,-0.003,0.901,249.577,medium
6.517,35.481,0.012,0.003,-0.025,-0.103,247.238,medium
6.715,37.802,-0.029,0.001,-0.008,0.047,255.198,medium
6.835,44.06,1.107,1.053,1.065,-0.069,245.523,high
6.268,37.336,0.009,0.027,-0.084,0.003,255.065,medium
6.869,45.707,0.016,0.029,1.018,0.012,253.905,medium
6.405,38.432,0.946,0.031,1.023,-0.006,255.131,medium
6.854,38.57,0.989,-0.118,1.049,-0.066,254.973,high
6.816,45.901,-0.123,-0.018,0.116,1.027,254.694,medium
6.72,44.288,0.986,1.027,1.066,0.99,245.214,high
6.676,34.269,0.932,0.042,1.067,-0.023,246.184,medium
6.825,36.041,0.058,1.015,0.971,-0.004,252.641,high
6.894,33.403,-0.005,-0.006,0.0,0.951,239.552,medium
6.919,44.348,0.037,1.026,0.073,-0.012,240.357,medium
6.716,41.676,0.025,0.031,0.996,0.08,255.045,medium
6.545,51.56,-0.031,0.012,-0.024,0.913,249.688,low
6.6,49.678,-0.043,-0.005,-0.061,0.046,254.978,low
6.654,34.383,-0.029,1.083,1.04,1.062,254.611,high
7.022,50.803,-0.048,0.015,0.978,0.025,255.025,low
6.766,42.693,1.049,0.067,0.994,1.024,249.86,high
6.659,39.737,0.979,0.024,0.989,-0.04,255.1,high
6.63,40.263,0.061,-0.052,0.906,-0.049,255.514,medium
6.436,54.341,1.01,0.086,1.022,0.047,244.947,low
6.392,46.693,-0.039,0.946,0.018,0.031,255.004,medium
6.711,40.396,0.974,0.018,0.02,0.081,249.807,medium
6.807,42.618,0.985,0.009,1.052,-0.053,250.03,high
6.792,54.787,-0.02,0.052,-0.082,0.973,254.966,low
6.609,49.334,1.046,-0.086,1.079,-0.082,245.596,low
6.512,39.491,1.028,-0.039,0.993,0.91,255.255,high
6.532,39.918,-0.046,0.07,0.021,0.089,255.078,medium
6.607,35.312,-0.083,0.978,1.054,0.985,245.178,low
6.745,38.714,1.051,-0.006,-0.009,-0.091,255.001,medium
6.646,39.378,1.039,0.955,1.119,1.036,254.959,high
6.62,43.02,0.012,0.065,1.087,-0.044,249.795,medium
6.351,40.278,0.093,-0.001,0.995,-0.018,248.931,medium
6.591,38.736,0.114,0.906,1.028,0.982,255.148,high
6.812,45.568,0.98,-0.05,0.035,0.999,254.67,medium
6.869,41.252,1.032,1.009,1.036,-0.069,254.851,high
6.353,45.017,0.988,0.015,0.03,-0.064,245.965,medium
6.497,44.104,0.006,-0.004,-0.064,1.077,249.837,medium
6.645,35.446,1.035,-0.058,0.984,0.012,254.285,high
6.517,35.994,0.045,0.901,0.018,0.988,253.287,high
8.522,70.8,0.926,1.027,1.026,0.986,246.323,low
9.52,34.583,0.938,1.016,0.014,0.987,254.744,low
6.497,36.77,-0.054,0.05,-0.001,0.014,254.568,medium
6.437,36.326,0.882,1.001,0.938,0.981,255.29,high
5.412,46.185,0.963,-0.036,1.071,1.0,249.717,low
4.417,60.366,-0.05,1.007,1.045,1.055,249.842,low
8.153,65.384,1.077,-0.007,1.019,0.98,254.741,low
6.658,46.944,0.995,0.976,-0.046,0.083,246.725,medium
6.849,44.192,1.022,1.06,0.994,-0.038,244.492,medium
5.597,48.586,0.005,1.018,0.97,1.106,254.526,low
8.71,54.173,-0.081,1.034,0.985,1.087,254.66,low
7.446,91.787,0.969,0.021,0.963,0.991,254.157,low
6.729,44.861,0.02,0.926,1.044,0.958,254.245,high
6.519,37.843,0.974,0.027,0.004,-0.09,254.4,medium
4.788,38.728,0.998,0.038,0.964,-0.015,254.733,low
3.122,40.201,0.993,0.959,0.928,0.97,254.992,low
9.078,41.99,1.08,0.036,0.971,1.065,250.093,low
6.825,39.795,0.989,-0.007,1.006,-0.064,244.869,medium
6.719,44.539,0.104,1.075,0.947,1.005,249.92,high
6.624,36.461,-0.061,0.016,0.974,0.068,254.807,medium
4.419,37.061,0.048,1.041,0.979,0.999,255.066,low
6.66,46.522,0.987,0.972,0.911,1.039,245.612,high
6.997,35.662,0.959,-0.002,0.965,-0.02,245.584,medium
6.524,36.046,-0.057,1.097,0.916,0.058,252.417,high
8.546,69.035,-0.054,-0.046,-0.033,-0.076,245.823,low
6.631,36.033,0.052,-0.089,-0.012,1.033,240.195,medium
6.643,36.52,0.037,-0.114,-0.078,-0.047,244.891,medium
6.686,35.705,1.065,-0.004,1.056,-0.016,255.749,high
6.433,43.922,0.074,0.996,-0.034,0.072,239.446,medium
6.643,41.26,0.06,0.92,-0.001,0.963,249.862,low
6.723,43.345,1.035,1.015,0.951,0.977,254.592,high
6.513,42.482,0.972,-0.052,-0.06,0.028,247.295,medium
6.657,49.263,1.019,0.961,1.015,0.072,244.648,low
8.76,54.802,-0.044,0.966,-0.074,0.051,255.135,low
7.435,64.953,0.085,-0.023,-0.055,0.025,254.528,low
6.611,42.168,0.026,-0.052,-0.001,0.094,254.24,medium
6.507,38.28,1.055,1.021,1.0,1.025,255.266,high
6.716,39.486,0.064,0.111,0.043,0.018,254.544,medium
3.004,41.046,1.066,-0.073,-0.018,-0.023,254.299,low
9.058,44.695,0.914,1.019,0.982,0.988,247.751,low
6.791,39.747,0.955,0.987,0.984,0.926,254.746,high
6.462,45.314,-0.087,-0.032,0.011,1.053,249.97,medium
6.572,36.338,0.014,-0.016,0.012,-0.009,247.131,medium
6.554,40.153,0.029,-0.062,0.024,-0.015,254.489,medium
6.797,44.646,1.059,1.01,0.966,-0.042,244.825,high
6.503,36.083,-0.088,0.087,0.024,0.049,255.301,medium
6.847,44.806,0.089,0.008,0.966,-0.017,254.599,medium
6.554,37.94,0.958,-0.035,0.967,0.038,254.9,medium
6.643,36.52,1.021,-0.007,0.945,0.091,255.286,high
6.881,44.494,-0.082,-0.027,-0.028,1.072,255.118,medium
6.977,44.766,0.963,0.92,0.913,1.036,245.894,high
6.666,34.317,0.907,-0.004,0.944,0.056,245.408,medium
6.701,36.68,-0.015,0.997,1.016,0.021,253.386,high
6.784,35.812,0.057,0.015,0.115,0.928,240.075,medium
6.821,45.722,-0.063,1.042,0.012,-0.014,239.966,medium
6.808,40.359,-0.017,0.088,1.098,0.002,254.689,medium
6.418,48.524,-0.018,0.055,0.051,0.981,250.471,low
6.704,47.795,0.026,0.053,-0.018,-0.042,254.732,low
6.589,32.512,-0.03,0.962,0.971,1.031,254.328,high
6.792,50.538,-0.06,-0.018,1.009,-0.022,256.155,low
6.738,41.516,0.983,0.009,1.036,1.036,249.954,high
6.593,39.358,0.962,-0.049,0.965,0.086,254.861,high
6.422,36.843,-0.043,-0.063,1.006,0.08,254.842,medium
6.6,54.734,0.967,-0.052,1.009,-0.031,246.576,low
6.602,46.317,0.079,0.974,-0.004,-0.034,254.489,medium
6.518,39.192,1.017,-0.061,-0.029,0.056,250.402,medium
6.807,44.677,0.994,0.041,1.005,-0.016,249.691,high
6.686,55.497,-0.035,-0.033,0.049,0.884,254.871,low
6.584,48.661,0.984,0.083,1.071,0.064,245.882,low
6.427,39.962,0.98,0.081,0.906,1.069,254.086,high
6.63,39.355,0.049,-0.029,0.042,0.017,255.445,medium
6.503,36.277,-0.069,0.981,0.978,0.957,244.815,low
6.563,40.669,0.988,0.002,0.035,-0.01,255.029,medium
6.49,42.629,1.043,0.951,0.942,0.98,255.403,high
6.562,42.707,0.005,-0.028,0.95,-0.105,249.081,medium
6.28,39.498,0.027,0.091,1.008,-0.009,250.114,medium
6.508,38.345,-0.036,0.976,1.053,1.011,254.982,high
6.7,45.691,1.029,-0.037,-0.017,1.055,254.975,medium
6.805,41.591,0.946,0.949,1.015,0.086,255.229,high
6.577,43.419,0.894,0.088,-0.015,-0.114,245.87,medium
6.75,42.015,0.025,-0.009,-0.005,0.987,249.494,medium
6.596,34.289,1.07,-0.005,1.046,0.053,253.533,high
6.655,34.526,0.03,0.982,0.075,0.927,253.485,high
8.512,71.194,0.959,0.959,0.994,1.026,245.397,low
9.53,33.999,0.956,1.108,-0.071,0.99,254.404,low
6.536,36.039,0.042,0.002,0.023,-0.033,254.86,medium
6.579,38.087,1.022,0.974,0.949,1.053,255.022,high
5.674,44.614,0.988,-0.005,0.972,0.941,249.911,low
4.583,59.171,0.017,0.984,0.968,1.007,249.871,low
8.078,66.672,0.991,-0.045,1.002,0.974,254.755,low
6.606,46.393,1.084,1.005,0.03,0.042,247.808,medium
6.738,45.229,1.008,1.025,0.993,-0.007,244.799,medium
5.607,49.876,0.041,0.975,0.921,0.938,254.251,low
8.726,55.44,0.022,0.927,0.981,0.986,255.581,low
7.311,89.212,1.077,-0.035,0.954,0.965,255.163,low
6.761,44.624,-0.005,1.059,0.926,1.021,254.4,high
6.585,38.52,1.011,-0.18,0.033,0.06,255.336,medium
4.772,38.204,1.075,0.02,1.033,0.006,255.456,low
2.916,41.197,1.011,1.016,0.971,0.998,255.633,low
8.978,43.305,0.963,0.018,1.016,1.028,249.764,low
6.827,38.686,0.922,-0.045,1.024,-0.051,245.334,medium
6.642,45.301,-0.028,0.966,1.014,0.959,250.022,high
6.528,36.095,-0.048,-0.001,1.047,-0.022,254.939,medium
4.608,36.173,-0.149,0.963,0.995,1.013,254.957,low
6.545,45.342,0.992,0.989,0.957,1.016,245.377,high
6.834,34.809,1.063,0.079,0.996,-0.026,247.044,medium
6.544,34.91,-0.024,1.057,1.09,0.036,252.873,high
8.392,68.628,-0.134,-0.025,-0.089,-0.034,246.332,low
6.693,33.999,0.094,-0.009,-0.028,1.01,240.429,medium
6.619,35.649,-0.045,-0.032,-0.014,-0.049,245.115,medium
6.716,36.892,1.0,-0.032,1.078,0.117,255.541,high
6.534,46.37,0.118,1.004,-0.087,0.031,240.037,medium
6.636,39.521,0.054,0.939,0.031,0.94,250.142,low
6.815,41.582,0.912,1.086,0.963,0.933,255.065,high
6.66,41.06,1.146,-0.011,0.033,0.019,246.98,medium
6.757,49.485,0.98,1.04,0.976,0.079,244.947,low
8.703,55.003,0.034,0.977,0.057,-0.002,254.174,low
7.34,64.778,0.041,-0.072,-0.011,-0.037,255.368,low
6.714,40.006,0.08,-0.002,0.104,-0.002,255.807,medium
6.515,37.469,1.053,1.016,0.96,0.968,255.031,high
6.714,38.044,-0.043,-0.149,-0.072,-0.023,255.278,medium
2.929,39.242,0.938,0.082,0.108,0.016,255.766,low
9.09,42.325,0.97,1.085,1.043,1.039,247.973,low
6.816,40.886,1.053,1.004,0.917,1.084,255.11,high
6.659,45.071,-0.062,0.024,-0.021,0.947,250.656,medium
6.358,36.702,-0.017,-0.026,-0.098,-0.063,246.43,medium
6.678,37.969,-0.048,-0.006,0.053,-0.103,254.809,medium
6.819,44.309,0.953,1.112,0.988,0.053,244.566,high
6.469,37.961,-0.062,0.035,-0.033,-0.031,254.615,medium
6.769,44.697,0.049,0.048,0.959,0.034,255.226,medium
6.362,38.963,1.068,0.042,1.007,0.069,254.404,medium
6.583,38.155,0.945,0.023,1.055,0.048,255.059,high
6.902,47.011,-0.057,-0.041,-0.025,0.924,255.035,medium
6.759,44.104,0.977,1.063,1.05,0.945,245.475,high
6.6,35.928,0.978,0.01,0.98,0.058,245.5,medium
6.694,37.585,-0.005,0.971,0.995,-0.056,253.286,high
6.793,33.474,-0.026,-0.038,0.062,0.91,240.901,medium
6.823,45.151,-0.02,0.928,-0.084,0.054,239.973,medium
6.795,41.222,0.016,0.017,0.957,0.02,254.379,medium
6.69,49.378,0.04,-0.063,0.048,1.069,249.938,low
6.661,51.057,0.04,-0.051,-0.064,0.007,255.464,low
6.624,34.275,-0.075,0.944,0.97,0.972,254.809,high
6.724,48.277,0.107,-0.087,0.917,0.051,255.195,low
6.704,42.01,1.032,-0.033,0.948,0.993,250.414,high
6.666,38.353,0.963,0.005,1.054,-0.027,255.186,high
6.545,37.48,0.064,-0.045,1.067,0.046,254.907,medium
6.413,55.252,1.024,0.135,1.044,-0.079,245.872,low
6.583,44.553,0.024,1.0,-0.056,0.053,255.081,medium
6.24,40.387,0.956,-0.036,0.058,-0.006,250.084,medium
6.78,42.158,1.036,0.104,1.097,0.003,249.653,high
6.645,54.743,0.001,-0.034,0.028,0.978,254.925,low
6.481,50.683,0.995,0.05,1.055,-0.013,245.675,low
6.492,39.312,0.952,-0.013,1.037,0.996,255.421,high
6.713,39.805,0.026,0.065,-0.027,-0.003,255.056,medium
6.441,37.765,0.02,0.943,1.043,0.962,244.558,low
6.598,40.076,1.018,-0.026,-0.029,-0.019,254.667,medium
6.602,38.552,1.017,0.984,0.976,0.96,255.853,high
6.822,42.649,0.006,0.065,0.985,0.015,250.516,medium
6.614,39.416,0.059,0.009,0.977,-0.059,249.968,medium
6.425,37.95,-0.0,0.94,0.911,1.001,254.343,high
6.601,44.281,1.002,-0.051,0.036,0.936,255.916,medium
6.866,40.088,0.955,1.021,1.05,0.046,255.109,high
6.445,43.801,0.953,-0.042,-0.047,0.015,246.205,medium
6.683,42.425,-0.033,0.082,0.107,0.858,249.081,medium
6.584,34.67,1.048,-0.035,1.006,0.064,253.182,high
6.625,37.66,-0.051,1.029,-0.021,1.019,253.034,high
8.43,69.325,1.089,1.007,0.948,1.055,245.983,low
9.694,32.035,0.971,1.01,-0.061,1.008,254.159,low
6.433,36.461,-0.078,0.025,0.004,0.009,254.839,medium
6.434,37.123,1.033,1.03,0.952,1.019,254.283,high
5.506,45.457,0.938,-0.067,1.017,1.015,250.443,low
4.449,60.329,-0.046,1.075,0.943,0.953,250.173,low
8.014,67.207,1.048,0.088,1.002,0.993,255.504,low
6.78,44.926,1.021,0.982,0.035,0.05,247.047,medium
6.61,45.557,0.974,1.032,1.015,0.028,245.094,medium
5.556,50.792,0.041,1.063,1.039,1.002,253.738,low
8.624,53.786,0.073,0.998,1.062,0.941,254.641,low
7.586,87.491,1.043,0.133,0.961,0.934,255.169,low
6.763,45.39,0.053,0.922,1.042,1.025,254.877,high
6.607,37.6,1.046,-0.027,-0.011,-0.097,254.914,medium
4.641,37.206,1.009,0.014,0.965,0.081,254.948,low
3.216,39.669,1.07,0.983,1.063,0.998,255.714,low
8.958,42.647,1.03,0.044,0.992,0.886,250.163,low
6.813,40.064,0.95,-0.038,1.033,-0.068,245.32,medium
6.693,44.891,-0.017,0.912,1.031,0.912,249.659,high
6.468,35.413,-0.012,-0.042,1.047,0.03,254.914,medium
4.495,38.492,0.016,1.049,0.949,1.092,255.348,low
6.491,45.297,1.051,0.97,0.996,1.073,244.9,high
6.726,36.79,0.999,0.017,1.007,-0.061,245.4,medium
6.492,34.111,-0.016,1.054,1.067,0.107,252.31,high
8.564,71.884,0.076,-0.04,0.071,0.088,245.112,low
6.531,33.833,-0.03,-0.055,0.055,0.972,241.167,medium
6.564,37.73,-0.11,-0.077,0.014,-0.008,245.51,medium
6.681,37.301,1.08,-0.019,0.922,0.023,254.448,high
6.378,45.249,-0.01,0.964,-0.032,0.054,240.586,medium
6.558,41.13,0.017,0.989,-0.017,1.015,250.456,low
6.61,42.628,1.057,1.015,1.058,1.006,254.49,high
6.688,41.702,1.031,0.057,-0.01,0.008,246.864,medium
6.738,50.418,0.893,0.976,0.999,0.023,245.484,low
8.544,53.374,-0.027,0.996,-0.041,0.006,254.594,low
7.365,64.698,-0.018,-0.017,-0.027,0.004,255.536,low
6.827,42.165,-0.11,-0.104,-0.029,-0.049,254.74,medium
6.618,38.202,1.042,0.933,1.112,1.044,254.167,high
6.848,38.363,0.013,-0.052,-0.031,0.038,256.119,medium
3.02,41.493,1.033,0.007,0.022,0.041,254.737,low
8.908,43.019,1.046,0.994,1.088,0.946,247.838,low
6.779,40.989,1.073,0.958,1.062,0.995,255.138,high
6.47,44.406,-0.088,0.122,0.018,0.984,250.537,medium
6.421,35.436,-0.059,-0.13,0.058,-0.019,246.73,medium
6.598,38.088,-0.042,-0.017,0.077,-0.041,255.372,medium
6.814,42.653,1.071,1.027,0.955,0.003,245.037,high
6.506,37.512,0.029,0.014,-0.106,0.016,255.602,medium
6.904,45.664,-0.058,-0.009,0.964,-0.026,255.267,medium
6.469,38.233,1.102,-0.017,0.964,-0.031,254.767,medium
6.68,37.249,1.06,0.001,1.074,0.039,255.432,high
6.825,45.529,0.056,-0.049,-0.007,1.007,254.814,medium
6.872,45.019,1.028,0.945,1.063,1.036,244.281,high
6.556,35.558,1.105,-0.092,1.067,0.111,246.302,medium
6.927,36.626,0.021,0.984,0.99,0.02,252.589,high
6.753,34.157,-0.027,0.018,0.01,1.001,239.03,medium
6.824,45.044,-0.037,1.058,-0.055,-0.076,239.834,medium
6.681,41.254,-0.019,-0.087,0.97,-0.039,255.25,medium
6.523,47.665,0.005,0.008,-0.07,0.987,250.365,low
6.53,48.626,-0.008,-0.012,-0.027,-0.02,254.651,low
6.538,33.559,-0.022,1.002,1.074,1.011,254.797,high
6.682,50.539,-0.06,-0.131,1.011,-0.029,255.205,low
6.697,44.22,0.859,0.002,0.944,0.974,250.219,high
6.733,37.954,1.08,0.014,1.061,-0.008,255.309,high
6.374,37.052,-0.099,-0.097,0.957,0.028,255.181,medium
6.32,54.514,1.071,-0.024,0.991,0.021,246.344,low
6.42,43.827,0.078,0.965,0.011,-0.006,254.584,medium
6.416,40.306,1.008,0.046,-0.016,0.115,250.772,medium
6.965,43.422,0.923,0.007,0.932,0.028,249.459,high
6.574,56.893,-0.002,0.04,-0.048,1.036,255.663,low
6.492,51.518,1.058,-0.047,1.057,-0.071,245.083,low
6.545,40.484,1.014,-0.062,1.087,0.945,255.445,high
6.611,39.532,-0.052,0.002,-0.056,-0.064,254.047,medium
6.629,38.138,-0.076,1.014,0.926,0.907,245.836,low
6.55,39.76,0.896,-0.02,-0.031,0.043,254.856,medium
6.54,40.396,1.053,0.948,0.871,0.98,255.097,high
6.549,42.492,-0.009,-0.054,0.971,0.125,250.368,medium
6.415,41.287,0.011,-0.056,0.894,-0.004,249.639,medium
6.596,36.518,-0.044,1.022,0.929,1.021,253.867,high
6.428,45.964,0.923,0.029,0.024,0.985,255.188,medium
6.82,41.727,1.03,0.982,1.06,-0.03,255.134,high
6.382,45.48,0.992,0.001,-0.012,-0.039,245.434,medium
6.66,42.805,0.045,0.046,0.016,1.014,250.221,medium
6.59,36.202,0.972,0.065,1.047,0.045,254.431,high
6.672,36.12,0.037,1.0,-0.034,1.017,252.917,high
8.595,71.351,0.994,1.097,0.966,0.972,246.038,low
9.437,34.232,1.007,0.978,-0.029,0.997,254.166,low
6.685,37.673,-0.018,0.005,-0.033,0.04,254.712,medium
6.679,37.016,0.943,0.935,1.004,0.987,254.392,high
5.69,45.924,1.003,-0.011,1.112,0.985,249.836,low
4.613,59.296,-0.012,0.953,1.02,1.102,250.564,low
7.96,67.664,0.996,-0.057,0.986,0.953,255.528,low
6.766,46.301,1.022,1.084,0.033,-0.004,246.608,medium
6.835,46.31,1.07,0.933,1.021,-0.077,244.173,medium
5.615,50.305,0.018,1.05,0.926,0.967,255.443,low
8.465,55.235,-0.043,1.04,1.081,0.986,255.093,low
7.673,89.557,0.956,0.003,1.002,0.993,255.475,low
6.783,45.283,0.009,1.007,0.925,1.017,255.496,high
6.574,38.529,0.927,-0.011,-0.077,-0.058,255.925,medium
4.581,38.902,1.008,-0.102,0.954,-0.001,254.842,low
2.861,40.453,1.047,0.952,0.997,0.871,255.401,low
9.052,41.974,0.997,0.149,0.97,1.01,250.128,low
6.899,40.823,1.06,-0.086,1.012,0.016,245.844,medium
6.655,43.814,0.037,0.988,0.95,1.034,250.325,high
6.531,36.851,0.115,-0.006,1.071,0.05,255.342,medium
4.521,36.426,-0.042,1.01,0.967,0.927,255.404,low
6.748,44.981,1.112,0.981,1.053,0.993,245.0,high
6.797,34.986,1.009,0.032,1.058,0.04,245.932,medium
6.779,38.108,0.012,1.032,0.969,-0.024,252.876,high
8.648,69.99,0.084,0.004,-0.052,-0.031,246.231,low
6.589,33.916,-0.02,0.005,0.002,1.048,240.021,medium
